День|Время|20.Б01-мкн|20.Б02-мкн|20.Б03-мкн|20.Б04-мкн|20.Б05-мкн|20.Б06-мкн|19.Б01-мкн|19.Б02-мкн|19.Б03-мкн|19.Б05-мкн|18.Б01-мкн|18.Б02-мкн|18.Б03-мкн|17.Б01-мкн|17.Б02-мкн
0|16:20 - 17:55|Мат.основы алгоритмов, практика, И.С.Казменко (Н.С.Гаевой) с 16-20 TEAMS||||||||||||||
0|17:10 - 18:45|||||||||||21.12.2020. Лекция СОСТОИТСЯ!!!  Image signal processing and analysis, лекция, Гильмутдинов  201                                  Раскраски графов и орграфы, лекция, Д.В.Карпов; 202                                                                    |21.12.2020. Лекция СОСТОИТСЯ!!!  Image signal processing and analysis, лекция, Гильмутдинов  201                                  Раскраски графов и орграфы, лекция, Д.В.Карпов; 202                                                                    |21.12.2020. Лекция СОСТОИТСЯ!!!  Image signal processing and analysis, лекция, Гильмутдинов  201                                  Раскраски графов и орграфы, лекция, Д.В.Карпов; 202                                                                    |Раскраски графов и орграфы, лекция, Д.В.Карпов; 202                                                       Индекс эллиптического оператора, лекция, С.С.Подкорытов 203                                                      21.12.2020. Лекция СОСТОИТСЯ!!!  Image signal processing and analysis, лекция, Гильмутдинов   201                                                                                    |Раскраски графов и орграфы, лекция, Д.В.Карпов; 202                                                       Индекс эллиптического оператора, лекция, С.С.Подкорытов 203                                                      21.12.2020. Лекция СОСТОИТСЯ!!!  Image signal processing and analysis, лекция, Гильмутдинов   201                                                                                    
1|09:30 - 11:05|||||||Алгебра, практика, Ю.В. Волков (А.В. Нордскова)  101|Дифференциальные уравнения и динамические системы, практика, Р.В. Романов 102||С++, лекция,  Линский zoom (Низкоуровневое программирование на языке C, с СП)|15.12.2020. - Анализ Фурье, В.В.Пеллер, 202       Теория вероятностей, практика, Ю.А.Давыдов 201 |Анализ Фурье, практика, В.В.Пеллер 202|Анализ Фурье, практика, Ф.В.Петров 203|Graph Drawing, семинар, Е.А.Арсеньева; 301                                                                              Теорема Карлесона,  семинар, Д.М.Столяров 302|Graph Drawing, семинар, Е.А.Арсеньева; 301                                                                              Теорема Карлесона,  семинар, Д.М.Столяров 302
1|11:15 - 12:50|Основы наивной теории множеств, лекция, 16 ч., до  С.О.Сперанский (до 27.10.2020.) / Геометрия и топология, лекция, Е.А.Фоминых (с 03.11.2020.) TEAMS|Основы наивной теории множеств, лекция, 16 ч., до  С.О.Сперанский (до 27.10.2020.) / Геометрия и топология, лекция, Е.А.Фоминых (с 03.11.2020.) TEAMS|Основы наивной теории множеств, лекция, 16 ч., до  С.О.Сперанский (до 27.10.2020.) / Геометрия и топология, лекция, Е.А.Фоминых (с 03.11.2020.) TEAMS|Основы наивной теории множеств, лекция, 16 ч., до  С.О.Сперанский (до 27.10.2020.) / Геометрия и топология, лекция, Е.А.Фоминых (с 03.11.2020.) TEAMS|Основы наивной теории множеств, лекция, 16 ч., до  С.О.Сперанский (до 27.10.2020.) / Геометрия и топология, лекция, Е.А.Фоминых (с 03.11.2020.) TEAMS|Основы наивной теории множеств, лекция, 16 ч., до  С.О.Сперанский (до 27.10.2020.) / Геометрия и топология, лекция, Е.А.Фоминых (с 03.11.2020.) TEAMS|Математический анализ, лекция, С.В. Кисляков 101|Математический анализ, лекция, С.В. Кисляков 101|Математический анализ, лекция, С.В. Кисляков 101||10.11.2020. вместо Функциональный анализ, лекция, В.В.Пеллер  будет                                                             Мат.логика, лекция, С.О.Сперанский, 201|10.11.2020. вместо Функциональный анализ, лекция, В.В.Пеллер  будет                                                             Мат.логика, лекция, С.О.Сперанский, 201|10.11.2020. вместо Функциональный анализ, лекция, В.В.Пеллер  будет                                                             Мат.логика, лекция, С.О.Сперанский, 201|Основы математической статистики, лекция, М.А.Лифшиц 202|Основы математической статистики, лекция, М.А.Лифшиц 202
1|13:40 - 15:15|22.12.2020., контрольная по геометрии, ВСЕ группы  Алгебра, лекция, В.А.Петров, ссылка на лекцию - https://www.lektorium.tv/lecture/29495, консультация в субботу,  |22.12.2020., контрольная по геометрии, ВСЕ группы  Алгебра, лекция, В.А.Петров, ссылка на лекцию - https://www.lektorium.tv/lecture/29495, консультация в субботу,  |22.12.2020., контрольная по геометрии, ВСЕ группы  Алгебра, лекция, В.А.Петров, ссылка на лекцию - https://www.lektorium.tv/lecture/29495, консультация в субботу,  |22.12.2020., контрольная по геометрии, ВСЕ группы  Алгебра, лекция, В.А.Петров, ссылка на лекцию - https://www.lektorium.tv/lecture/29495, консультация в субботу,  |22.12.2020., контрольная по геометрии, ВСЕ группы  Алгебра, лекция, В.А.Петров, ссылка на лекцию - https://www.lektorium.tv/lecture/29495, консультация в субботу,  |22.12.2020., контрольная по геометрии, ВСЕ группы  Алгебра, лекция, В.А.Петров, ссылка на лекцию - https://www.lektorium.tv/lecture/29495, консультация в субботу,  |Математический анализ, практика, А.А. Седунова 101|Алгебра, практика, Ю.В. Волков 102|Математический анализ, практика, П.А. Мозоляко 103|Дифференциальноая геометрия (Принципы организации и архитектура компьютерных систем), практика, К. Чайка 104   Н.С.Калинин (официально)|Теория вероятностей, лекция, М.А.Лифшиц 201 |Теория вероятностей, лекция, М.А.Лифшиц 201 |Теория вероятностей, лекция, М.А.Лифшиц 201 |Гармонический анализ, лекция, С.В.Кисляков;   202                                                                     Машинное обучение, практика, А.П.Давыдов (совместно с СП) с 8.09|Гармонический анализ, лекция, С.В.Кисляков;   202                                                                     Машинное обучение, практика, А.П.Давыдов (совместно с СП) с 8.09
1|15:25 - 17:00|Мат.анализ, лекция, Ю.С.Белов ZOOM 301|Мат.анализ, лекция, Ю.С.Белов ZOOM 301|Мат.анализ, лекция, Ю.С.Белов ZOOM 301|Мат.анализ, лекция, Ю.С.Белов ZOOM 301|Мат.анализ, лекция, Ю.С.Белов ZOOM 301|Мат.анализ, лекция, Ю.С.Белов ZOOM 301|ВРЕМЯ ЗАНЯТО|Математический анализ, практика, А.А. Седунова  102|ВРЕМЯ ЗАНЯТО||Introduction to the Shadowing Theory, лекция, С.Ю.Пилюгин; 201                                                               03.11. НЕ БУДЕТ Геометрические алгоритмы, семинар, Е.А.Арсеньева;  202                                                              Commutative algebra, лекция, А.К.Ставрова; 203                                                             Машинное обучение, практика, А.П.Давыдов (совместно с СП)  с 8.09                           |Introduction to the Shadowing Theory, лекция, С.Ю.Пилюгин; 201                                                               03.11. НЕ БУДЕТ Геометрические алгоритмы, семинар, Е.А.Арсеньева;  202                                                              Commutative algebra, лекция, А.К.Ставрова; 203                                                             Машинное обучение, практика, А.П.Давыдов (совместно с СП)  с 8.09                           |Introduction to the Shadowing Theory, лекция, С.Ю.Пилюгин; 201                                                               03.11. НЕ БУДЕТ Геометрические алгоритмы, семинар, Е.А.Арсеньева;  202                                                              Commutative algebra, лекция, А.К.Ставрова; 203                                                             Машинное обучение, практика, А.П.Давыдов (совместно с СП)  с 8.09                           |Introduction to the Shadowing Theory, лекция, С.Ю.Пилюгин; 201                                                                 03.11. НЕ БУДЕТ Геометрические алгоритмы, семинар, Е.А.Арсеньева; 202                                                             Commutative algebra, лекция, А.К.Ставрова;   203|Introduction to the Shadowing Theory, лекция, С.Ю.Пилюгин; 201                                                                 03.11. НЕ БУДЕТ Геометрические алгоритмы, семинар, Е.А.Арсеньева; 202                                                             Commutative algebra, лекция, А.К.Ставрова;   203
1|17:10 - 18:45|С 10.11.2020. С 17-30 Дополнительные главы математического анализа (факультатив) П. Мозоляко, Д. Столяров, Р. Романов, ZOOM 301|С 10.11.2020. С 17-30 Дополнительные главы математического анализа (факультатив) П. Мозоляко, Д. Столяров, Р. Романов, ZOOM 301|С 10.11.2020. С 17-30 Дополнительные главы математического анализа (факультатив) П. Мозоляко, Д. Столяров, Р. Романов, ZOOM 301|С 10.11.2020. С 17-30 Дополнительные главы математического анализа (факультатив) П. Мозоляко, Д. Столяров, Р. Романов, ZOOM 301|С 10.11.2020. С 17-30 Дополнительные главы математического анализа (факультатив) П. Мозоляко, Д. Столяров, Р. Романов, ZOOM 301|С 10.11.2020. С 17-30 Дополнительные главы математического анализа (факультатив) П. Мозоляко, Д. Столяров, Р. Романов, ZOOM 301|ВРЕМЯ ЗАНЯТО|ВРЕМЯ ЗАНЯТО|ВРЕМЯ ЗАНЯТО|ВРЕМЯ ЗАНЯТО|Intersection Theory, лекция, В.А.Петров; 203                                                                                                                     Введение в неклассические логики, лекция, С.О.Сперанский;  101                                                  Введение в теорию пространств Харди, лекция, Виденский;  302|Intersection Theory, лекция, В.А.Петров; 203                                                                                                                     Введение в неклассические логики, лекция, С.О.Сперанский;  101                                                  Введение в теорию пространств Харди, лекция, Виденский;  302|Intersection Theory, лекция, В.А.Петров; 203                                                                                                                     Введение в неклассические логики, лекция, С.О.Сперанский;  101                                                  Введение в теорию пространств Харди, лекция, Виденский;  302|Гармонический анализ, семинар, С.В.Кисляков; 202                                                                                                                                   Intersection Theory, семинар, В.А.Петров;  203                                                                                                                                              Введение в неклассические логики, лекция, С.О.Сперанский; 101                                            Введение в теорию пространств Харди, лекция, Виденский;  302|Гармонический анализ, семинар, С.В.Кисляков; 202                                                                                                                                   Intersection Theory, семинар, В.А.Петров;  203                                                                                                                                              Введение в неклассические логики, лекция, С.О.Сперанский; 101                                            Введение в теорию пространств Харди, лекция, Виденский;  302
2|09:30 - 11:05|Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К. 104 Вексель А.А. - 101 ОНЛАЙН с 16.09.2020. |Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К. 104 Вексель А.А. - 101 ОНЛАЙН с 16.09.2020. |Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К. 104 Вексель А.А. - 101 ОНЛАЙН с 16.09.2020. |Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К. 104 Вексель А.А. - 101 ОНЛАЙН с 16.09.2020. |Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К. 104 Вексель А.А. - 101 ОНЛАЙН с 16.09.2020. |Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К. 104 Вексель А.А. - 101 ОНЛАЙН с 16.09.2020. | онлайн-курс "Язык эффективной коммуникации"  групповая консультация 2.12 и 9.12  (9:00-10:25)| онлайн-курс "Язык эффективной коммуникации"  групповая консультация 2.12 и 9.12  (9:00-10:25)| онлайн-курс "Язык эффективной коммуникации"  групповая консультация 2.12 и 9.12  (9:00-10:25)| онлайн-курс "Язык эффективной коммуникации"  групповая консультация 2.12 и 9.12  (9:00-10:25)|Современные методы в теоретической информатике, семинар, Э.А.Гирш;  201                                                                                       Некоммутативные кольца, семинар, И.М.Зильберборд; 202                                                                   Современный анализ, семинар, В.В.Пеллер 203                                                               Квадратичные формы, семинар, А.Смоленский;  302|Современные методы в теоретической информатике, семинар, Э.А.Гирш;  201                                                                                       Некоммутативные кольца, семинар, И.М.Зильберборд; 202                                                                   Современный анализ, семинар, В.В.Пеллер 203                                                               Квадратичные формы, семинар, А.Смоленский;  302|Современные методы в теоретической информатике, семинар, Э.А.Гирш;  201                                                                                       Некоммутативные кольца, семинар, И.М.Зильберборд; 202                                                                   Современный анализ, семинар, В.В.Пеллер 203                                                               Квадратичные формы, семинар, А.Смоленский;  302|Современные методы в теоретической информатике, семинар, Э.А.Гирш; 201  Некоммутативные кольца, семинар, И.М.Зильберборд; 202 Современный анализ, семинар, В.В.Пеллер 203  Квадратичные формы, семинар, А.Смоленский;  302|Современные методы в теоретической информатике, семинар, Э.А.Гирш; 201  Некоммутативные кольца, семинар, И.М.Зильберборд; 202 Современный анализ, семинар, В.В.Пеллер 203  Квадратичные формы, семинар, А.Смоленский;  302
2|11:15 - 12:50|Геометрия и топология, лекция, Е.А.Фоминых (с 04.11.2020.), TEAMS|Геометрия и топология, лекция, Е.А.Фоминых (с 04.11.2020.), TEAMS|Геометрия и топология, лекция, Е.А.Фоминых (с 04.11.2020.), TEAMS|Геометрия и топология, лекция, Е.А.Фоминых (с 04.11.2020.), TEAMS|Геометрия и топология, лекция, Е.А.Фоминых (с 04.11.2020.), TEAMS|Геометрия и топология, лекция, Е.А.Фоминых (с 04.11.2020.), TEAMS|||||Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №2) 103 Вексель А.А. (спец. группа №1) 104|Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №2) 103 Вексель А.А. (спец. группа №1) 104|Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №2) 103 Вексель А.А. (спец. группа №1) 104|Точечные процессы, лекция, Ю.А.Давыдов 201|Точечные процессы, лекция, Ю.А.Давыдов 201
2|10:30 - 12:05|||||||Дифференциальная геометрия, лекция, С.В. Иванов (48 ч. 1,5 пары с 10:30) лекция пройдет в TEAMS  |Дифференциальная геометрия, лекция, С.В. Иванов (48 ч. 1,5 пары с 10:30) лекция пройдет в TEAMS  |Дифференциальная геометрия, лекция, С.В. Иванов (48 ч. 1,5 пары с 10:30) лекция пройдет в TEAMS  ||||||
2|13:40 - 15:15||||||| Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К.104| Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К.104| Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К.104| Английский язык Карташева Е.В. 102 Троц А.В. 103 Новикова Д.К.104|Основы байесовского вывода, лекция, С.И.Николенко; 201                                                                                                         Риманова геометрия, лекция, Н.Д.Лебедева; 301                                                                                      Asymptotic Sieve for Primes, лекция, А.А.Седунова 203                                                                     Язык программирования Python, лекция, Соболев, совместно с СП                     |Основы байесовского вывода, лекция, С.И.Николенко; 201                                                                                                         Риманова геометрия, лекция, Н.Д.Лебедева; 301                                                                                      Asymptotic Sieve for Primes, лекция, А.А.Седунова 203                                                                     Язык программирования Python, лекция, Соболев, совместно с СП                     |Основы байесовского вывода, лекция, С.И.Николенко; 201                                                                                                         Риманова геометрия, лекция, Н.Д.Лебедева; 301                                                                                      Asymptotic Sieve for Primes, лекция, А.А.Седунова 203                                                                     Язык программирования Python, лекция, Соболев, совместно с СП                     |Основы байесовского вывода, лекция, С.И.Николенко; 201                                                                                                                        Риманова геометрия, лекция, Н.Д.Лебедева; 301                                                                            Asymptotic Sieve for Primes, лекция, А.А.Седунова 203                                                                             Язык программирования Python, лекция, Соболев, совместно с СП                     |Основы байесовского вывода, лекция, С.И.Николенко; 201                                                                                                                        Риманова геометрия, лекция, Н.Д.Лебедева; 301                                                                            Asymptotic Sieve for Primes, лекция, А.А.Седунова 203                                                                             Язык программирования Python, лекция, Соболев, совместно с СП                     
2|15:25 - 17:00|||||||||||21.10.2020.   Анализ Фурье, лекция, Р.В.Бессонов, ZOOM 201                                                    Мат.физика, лекция, Т.Н.Шилкин 201|21.10.2020.   Анализ Фурье, лекция, Р.В.Бессонов, ZOOM 201                                                    Мат.физика, лекция, Т.Н.Шилкин 201|21.10.2020.   Анализ Фурье, лекция, Р.В.Бессонов, ZOOM 201                                                    Мат.физика, лекция, Т.Н.Шилкин 201|Английский язык Карташева Е.В. 102 Троц А.В. 103|Английский язык Карташева Е.В. 102 Троц А.В. 103
2|17:10 - 18:45|История России, консультация 9.09; 30.09; 21.10; 11.11; 2.12|История России, консультация 9.09; 30.09; 21.10; 11.11; 2.12|История России, консультация 9.09; 30.09; 21.10; 11.11; 2.12|История России, консультация 9.09; 30.09; 21.10; 11.11; 2.12|БЖД, консультация 16.09; 30.09; 18.11; 25.11; 2.12  |БЖД, консультация 16.09; 30.09; 18.11; 25.11; 2.12  |||||21.10.2020. Мат.физика, Т.Н.Шилкин,                                                                                                  Анализ Фурье, лекция, Р.В.Бессонов 201|21.10.2020. Мат.физика, Т.Н.Шилкин,                                                                                                  Анализ Фурье, лекция, Р.В.Бессонов 201|21.10.2020. Мат.физика, Т.Н.Шилкин,                                                                                                  Анализ Фурье, лекция, Р.В.Бессонов 201|Английский язык Карташева Е.В. 102 Троц А.В. 103|Английский язык Карташева Е.В. 102 Троц А.В. 103
2|ВНИМАНИЕ!!! С 08.10.2020. все занятия будут проходить дистанционно!!! Лекции - в ZOOM, практика - за редким исключением - в TEAMS.|ВНИМАНИЕ!!! С 08.10.2020. все занятия будут проходить дистанционно!!! Лекции - в ZOOM, практика - за редким исключением - в TEAMS.|ВНИМАНИЕ!!! С 08.10.2020. все занятия будут проходить дистанционно!!! Лекции - в ZOOM, практика - за редким исключением - в TEAMS.|ВНИМАНИЕ!!! С 08.10.2020. все занятия будут проходить дистанционно!!! Лекции - в ZOOM, практика - за редким исключением - в TEAMS.|ВНИМАНИЕ!!! С 08.10.2020. все занятия будут проходить дистанционно!!! Лекции - в ZOOM, практика - за редким исключением - в TEAMS.|ВНИМАНИЕ!!! С 08.10.2020. все занятия будут проходить дистанционно!!! Лекции - в ZOOM, практика - за редким исключением - в TEAMS.|ВНИМАНИЕ!!! С 08.10.2020. все занятия будут проходить дистанционно!!! Лекции - в ZOOM, практика - за редким исключением - в TEAMS.|||||||||
3|09:30 - 11:05||Дискретная математика, практика, Д.О.Соколов (А.А. Софронова), до 22.10.2020. / Геометрия и топология, практика, Н.Д.Лебедева, с 05.11.2020.  TEAMS|||Введение в объектно-ориентированное программирование, лекция,   Сенин М.А. zoom|Введение в объектно-ориентированное программирование, лекция,   Сенин М.А. zoom|Алгебра, лекция,  А.В. Степанов                                                 101|Алгебра, лекция,  А.В. Степанов                                                 101|Алгебра, лекция,  А.В. Степанов                                                 101|С++, практика, С. Власов  С 12.11   104|17.12.2020., Теория вероятностей, практика, Ю.А.Давыдов 201      Анализ Фурье, практика, В.В.Пеллер 201|Теория вероятностей, практика, М.Платонова 202|Теория вероятностей, практика, Ю.П.Петрова 203|Глубокое обучение, лекция, С.И.Николенко 301|Глубокое обучение, лекция, С.И.Николенко 301
3|10:20 - 11:55|с 08.10.2020. Мат.анализ, практика, Д.М.Столяров, 1,5 пары ,  с 10-20,  свой ZOOM-канал https://us02web.zoom.us/j/84624227356?pwd=N01qd2tpNXFOV3JRWmxqVGlOQUtRUT09||||||||||||||
3|11:15 - 12:50||||||| Теоретическая информатика, лекция, Э.А. Гирш с 05.11.2020 совместно с СП  101| Теоретическая информатика, лекция, Э.А. Гирш с 05.11.2020 совместно с СП  101| Теоретическая информатика, лекция, Э.А. Гирш с 05.11.2020 совместно с СП  101| Теоретическая информатика, лекция, Э.А. Гирш с 05.11.2020 совместно с СП  101|||||
3|12:00 - 13:35|||||||||||Основы байесовского вывода, семинар, С.И.Николенко;  201                                        Риманова геометрия, семинар, Н.Д.Лебедева; 202                                                                                                        Трёхмерное компьютерное зрение, семинар, Крыщенко,совместно с СП с 12:00;|Основы байесовского вывода, семинар, С.И.Николенко;  201                                        Риманова геометрия, семинар, Н.Д.Лебедева; 202                                                                                                        Трёхмерное компьютерное зрение, семинар, Крыщенко,совместно с СП с 12:00;|Основы байесовского вывода, семинар, С.И.Николенко;  201                                        Риманова геометрия, семинар, Н.Д.Лебедева; 202                                                                                                        Трёхмерное компьютерное зрение, семинар, Крыщенко,совместно с СП с 12:00;|Основы байесовского вывода, семинар, С.И.Николенко; 201                                                                                        Риманова геометрия, семинар, Н.Д.Лебедева; 202                                                                                                                                                     Трёхмерное компьютерное зрение, семинар, Крыщенко,совместно с СП с 12:00; |Основы байесовского вывода, семинар, С.И.Николенко; 201                                                                                        Риманова геометрия, семинар, Н.Д.Лебедева; 202                                                                                                                                                     Трёхмерное компьютерное зрение, семинар, Крыщенко,совместно с СП с 12:00; 
3|13:40 - 15:15|Дискретная математика, практика, Д.О.Соколов (А.А. Софронова), до 22.10.2020. / Геометрия и топология, практика, Н.Д.Лебедева, с 05.11.2020. TEAMS||Мат.анализ, практика, М.Дубашинский, 1,5 пары - до 16:10 TEAMS||Мат.основы алгоритмов, практика, И.С.Казменко TEAMS|Геометрия и топология, практика, А.В.Смирнов, с 05.11.2020. TEAMS|Дифференциальные уравнения и динамические системы, лекция,  С.Ю. Пилюгин ZOOM 101|Дифференциальные уравнения и динамические системы, лекция,  С.Ю. Пилюгин ZOOM 101|Дифференциальные уравнения и динамические системы, лекция,  С.Ю. Пилюгин ZOOM 101|Введение в динамику, лекция,С.Ю. Пилюгин ZOOM 101|||||
